platform,source_url,product_id,handle,url,title,brand,product_type,tags,variant_id,variant_title,sku,price,compare_at_price,currency,options,available,image
woocommerce,https://containersolutionscs.de,3656,daikin-mono-split-24000-btu-fva71a-rzasg71mv1-klimaanlagen-7-1-kw-fva-a-sky-air-advance-a-a-spalte,https://containersolutionscs.de/produkt/daikin-mono-split-24000-btu-fva71a-rzasg71mv1-klimaanlagen-7-1-kw-fva-a-sky-air-advance-a-a-spalte/,Daikin Mono Split 24000 Btu FVA71A RZASG71MV1 Klimaanlagen 7.1 kW FVA-A Sky Air Advance A+ A+ Spalte,,Klimaanlage,,3656,Daikin Mono Split 24000 Btu FVA71A RZASG71MV1 Klimaanlagen 7.1 kW FVA-A Sky Air Advance A+ A+ Spalte,CL3ST26108,2900.00,2900.00,EUR,,True,https://containersolutionscs.de/wp-content/uploads/2026/07/daikin-mono-split-24000-btu-fva71a-rzasg71mv1-klimaanlagen-71-kw-fva-a-sky-air-advance-a-a-spalte-1.webp
woocommerce,https://containersolutionscs.de,3645,klimaanlage-ecoflow-wave-3,https://containersolutionscs.de/produkt/klimaanlage-ecoflow-wave-3/,Klimaanlage EcoFlow WAVE 3,,Klimaanlage,,3645,Klimaanlage EcoFlow WAVE 3,CL3ST26107,750.00,750.00,EUR,,True,https://containersolutionscs.de/wp-content/uploads/2026/07/15056_etr.webp
woocommerce,https://containersolutionscs.de,3638,remko-raumklimageraet-rkl-495-dc-s-line-silber-2,https://containersolutionscs.de/produkt/remko-raumklimageraet-rkl-495-dc-s-line-silber-2/,Remko Raumklimagerät RKL 495 DC S-Line – silber,,Klimaanlage,,3638,Remko Raumklimagerät RKL 495 DC S-Line – silber,CL3ST26106,2150.00,2150.00,EUR,,True,https://containersolutionscs.de/wp-content/uploads/2026/07/724-1_remko-rkl-495-1-2.webp
woocommerce,https://containersolutionscs.de,3631,remko-raumklimageraet-rkl-495-dc-weiss-2,https://containersolutionscs.de/produkt/remko-raumklimageraet-rkl-495-dc-weiss-2/,Remko Raumklimagerät RKL 495 DC – weiß,,Klimaanlage,,3631,Remko Raumklimagerät RKL 495 DC – weiß,CL3ST26105,1950.00,1950.00,EUR,,True,https://containersolutionscs.de/wp-content/uploads/2026/07/724-1_remko-rkl-495-1-1.webp
woocommerce,https://containersolutionscs.de,3613,remko-raumklimageraet-rkl-495-dc-s-line-silber,https://containersolutionscs.de/produkt/remko-raumklimageraet-rkl-495-dc-s-line-silber/,Remko Raumklimagerät RKL 495 DC S-Line – silber,,Klimaanlage,,3613,Remko Raumklimagerät RKL 495 DC S-Line – silber,CL3ST26104,2150.00,2150.00,EUR,,True,https://containersolutionscs.de/wp-content/uploads/2026/07/721-2_remko-rkl-495s-1.webp
woocommerce,https://containersolutionscs.de,3602,remko-raumklimageraet-rkl-495-dc-weiss,https://containersolutionscs.de/produkt/remko-raumklimageraet-rkl-495-dc-weiss/,Remko Raumklimagerät RKL 495 DC – weiß,,Klimaanlage,,3602,Remko Raumklimagerät RKL 495 DC – weiß,CL3ST26103,1950.00,1950.00,EUR,,True,https://containersolutionscs.de/wp-content/uploads/2026/07/724-1_remko-rkl-495-1.webp
woocommerce,https://containersolutionscs.de,3594,ecoflow-wave-3-mit-zusatzakku-tragbare-klimaanlage-und-heizung,https://containersolutionscs.de/produkt/ecoflow-wave-3-mit-zusatzakku-tragbare-klimaanlage-und-heizung/,EcoFlow WAVE 3 mit Zusatzakku – tragbare Klimaanlage und Heizung,,Klimaanlage,,3594,EcoFlow WAVE 3 mit Zusatzakku – tragbare Klimaanlage und Heizung,CL3ST26102,1250.00,1250.00,EUR,,True,https://containersolutionscs.de/wp-content/uploads/2026/07/17066_b-0-2e745.webp
woocommerce,https://containersolutionscs.de,3573,gree-soyal-single-split-klimaanlage-27-kw-9212-btu-energieklasse-a-heiz-kuehlbetrieb-kaeltemittel-r32-bis-25-m%c2%b2,https://containersolutionscs.de/produkt/gree-soyal-single-split-klimaanlage-27-kw-9212-btu-energieklasse-a-heiz-kuehlbetrieb-kaeltemittel-r32-bis-25-m%c2%b2/,"GREE Soyal Single-Split-Klimaanlage 2,7 kW (9212 BTU) | Energieklasse A+++ | Heiz- & Kühlbetrieb | Kältemittel R32 | bis 25 m²",,Klimaanlage,,3573,"GREE Soyal Single-Split-Klimaanlage 2,7 kW (9212 BTU) | Energieklasse A+++ | Heiz- & Kühlbetrieb | Kältemittel R32 | bis 25 m²",CL3ST26101,1300.00,1300.00,EUR,,True,https://containersolutionscs.de/wp-content/uploads/2026/07/GWH12AKC-K6DNA1A-GREE_Single-Split-Klimaanlage_Soyal_Kaelteleistung_3_53_kW_12044_Btu-h_GWH1-4-6452154e1af99-3-scaled.jpg
woocommerce,https://containersolutionscs.de,3563,gree-soyal-split-klimaanlage-53-kw-inverter-heizen-kuehlen-a-a-r32-bis-50-m%c2%b2,https://containersolutionscs.de/produkt/gree-soyal-split-klimaanlage-53-kw-inverter-heizen-kuehlen-a-a-r32-bis-50-m%c2%b2/,"GREE Soyal Split-Klimaanlage 5,3 kW – Inverter Heizen & Kühlen | A++/A+ | R32 | bis 50 m²",,Klimaanlage,,3563,"GREE Soyal Split-Klimaanlage 5,3 kW – Inverter Heizen & Kühlen | A++/A+ | R32 | bis 50 m²",CL3ST26100,1400.00,1400.00,EUR,,True,https://containersolutionscs.de/wp-content/uploads/2026/07/GWH12AKC-K6DNA1A-GREE_Single-Split-Klimaanlage_Soyal_Kaelteleistung_3_53_kW_12044_Btu-h_GWH1-1-6452154a3e974-1.jpg
woocommerce,https://containersolutionscs.de,3557,gree-soyal-single-split-klimaanlage-353-kw-a-kuehlen-heizen-r32-bis-35-m%c2%b2,https://containersolutionscs.de/produkt/gree-soyal-single-split-klimaanlage-353-kw-a-kuehlen-heizen-r32-bis-35-m%c2%b2/,"GREE Soyal Single-Split-Klimaanlage 3,53 kW – A+++ – Kühlen & Heizen – R32 – bis 35 m²",,Klimaanlage,,3557,"GREE Soyal Single-Split-Klimaanlage 3,53 kW – A+++ – Kühlen & Heizen – R32 – bis 35 m²",CL3ST2699,1200.00,1200.00,EUR,,True,https://containersolutionscs.de/wp-content/uploads/2026/07/GWH12AKC-K6DNA1A-GREE_Single-Split-Klimaanlage_Soyal_Kaelteleistung_3_53_kW_12044_Btu-h_GWH1-4-6452154e1af99-scaled.jpg
